iso3,country,year,growth_annual,wdi_gdp_growth_annual_pct,maddison_growth_annual,wdi_growth_decimal,abs_diff_maddison,abs_diff_wdi
ARE,United Arab Emirates,1976,0.013938550806356531,16.5266792179266,0.005209240961393746,0.165266792179266,0.008729309844962785,0.15132824137290946
BIH,Bosnia and Herzegovina,1996,0.3909971298630017,54.199300436288,0.41761594386410117,0.54199300436288,0.026618814001099445,0.15099587449987828
GUY,Guyana,2022,0.4831126737172404,63.3346343654855,,0.633346343654855,,0.15023366993761456
MRT,Mauritania,1995,-0.05177210325670245,9.81980039567445,-0.02737617521437219,0.09819800395674451,0.02439592804233026,0.14997010721344695
OMN,Oman,1978,0.11133589414123435,-3.69353109012729,-0.07182421438123221,-0.0369353109012729,0.18316010852246656,0.14827120504250724
LBN,Lebanon,1989,-0.572775925700034,-42.4511182157698,-0.5667104509472134,-0.42451118215769806,0.006065474752820599,0.14826474354233593
SLE,Sierra Leone,1997,-0.20643117767041552,-5.87708084575527,-0.18062982174612596,-0.0587708084575527,0.02580135592428956,0.14766036921286282
YEM,Yemen,2014,-0.14915376045822182,-0.188690241954504,-0.029520473057509378,-0.0018869024195450402,0.11963328740071244,0.14726685803867678
OMN,Oman,2012,-0.05733025995998453,8.86312225557018,0.06474903493233697,0.08863122255570181,0.1220792948923215,0.14596148251568636
CPV,Cabo Verde,1994,0.04663309391812476,19.1826416318144,0.05927632253005388,0.19182641631814398,0.012643228611929125,0.14519332240001923
SDN,Sudan,1989,-0.05322735544324342,8.93139368961116,0.05390299069017246,0.0893139368961116,0.10713034613341588,0.14254129233935503
OMN,Oman,1989,-0.02431536777677934,11.7568618360793,0.005533425607723075,0.117568618360793,0.029848793384502414,0.14188398613757236
LSO,Lesotho,1972,0.13976419836553244,-0.202708350280261,0.1517468325158644,-0.00202708350280261,0.011982634150331961,0.14179128186833506
SYC,Seychelles,1978,0.06980351382593497,21.1516925236461,0.07285839502499591,0.211516925236461,0.0030548811990609437,0.14171341141052604
LBN,Lebanon,1992,0.02285673900952645,16.4383457045728,0.0652503508434954,0.16438345704572802,0.04239361183396895,0.14152671803620157
MRT,Mauritania,1964,0.417794269409721,27.6908863519321,0.24659521234926007,0.27690886351932104,0.1711990570604609,0.14088540589039994
MLT,Malta,2000,0.057305489977002466,19.6812693530689,0.059489291599584604,0.196812693530689,0.0021838016225821377,0.13950720355368654
LBR,Liberia,1998,0.16270535385600837,30.2081273744464,0.09623278266639712,0.302081273744464,0.06647257118961125,0.1393759198884556
LBR,Liberia,1992,-0.4896723052394947,-35.0856779208949,-0.5387581866109485,-0.35085677920894903,0.049085881371453866,0.13881552603054564
LSO,Lesotho,1983,-0.11874259343224125,1.98616536341514,-0.009563349902392382,0.0198616536341514,0.10917924352984887,0.13860424706639266
MLI,Mali,1986,0.13091962812956304,-0.762659203660078,0.044012491753315786,-0.00762659203660078,0.08690713637624725,0.13854622016616383
ARE,United Arab Emirates,1978,-0.15431466114578818,-1.58961937418947,-0.15390417953378943,-0.0158961937418947,0.00041048161199874755,0.13841846740389346
MWI,Malawi,1970,0.1429491900890385,0.479297977511649,-0.012543718478529975,0.00479297977511649,0.15549290856756848,0.138156210313922
TGO,Togo,1997,0.005737893941441641,14.3773775724317,0.00867063618571784,0.143773775724317,0.0029327422442761986,0.13803588178287535
TCD,Chad,2005,0.03585011242882974,17.3325337352162,0.05339662149791202,0.173325337352162,0.017546509069082283,0.13747522492333225
DZA,Algeria,1963,0.20675936484473212,34.3137287803281,0.21009912168272482,0.343137287803281,0.0033397568379927023,0.1363779229585489
MMR,Myanmar,2021,0.015642423125163063,-12.0163724829177,-0.20596541073781793,-0.12016372482917699,0.221607833862981,0.13580614795434004
CMR,Cameroon,1981,0.03526503928319258,17.0826822487652,0.12500833220983054,0.170826822487652,0.08974329292663796,0.1355617832044594
HND,Honduras,1974,-0.041276761301702436,9.41117622705514,0.09480976874194624,0.0941117622705514,0.13608653004364868,0.13538852357225384
SYR,Syrian Arab Republic,1970,-0.15317667967111603,-1.79685287528201,-0.07112893097584916,-0.017968528752820102,0.08204774869526688,0.13520815091829594
SWZ,Eswatini,1980,-0.009917636354414228,12.4490521716711,-0.014825069362156995,0.124490521716711,0.0049074330077427675,0.13440815807112522
ISR,Israel,1965,-0.04427499400792456,8.99794788994292,0.05838895133967803,0.0899794788994292,0.10266394534760259,0.13425447290735376
BGD,Bangladesh,1964,-0.024555018983328125,10.9527885460584,-0.008483613977815274,0.109527885460584,0.01607140500551285,0.13408290444391213
GNQ,Equatorial Guinea,2005,0.033875852557470054,16.7487006053541,0.062343260299822845,0.167487006053541,0.02846740774235279,0.13361115349607094
IRQ,Iraq,1994,-0.0950039524984092,3.85453244895318,-0.011244997860223371,0.038545324489531796,0.08375895463818583,0.133549276987941
ZWE,Zimbabwe,1969,0.2577608519289001,12.4282358363658,0.08370818877188047,0.124282358363658,0.17405266315701962,0.13347849356524208
TCA,Turks and Caicos Islands,2023,0.0043018319452095,13.7311481139228,,0.137311481139228,,0.1330096491940185
IRQ,Iraq,2004,0.4043010075175548,53.3855472887501,0.4715936596208756,0.533855472887501,0.0672926521033208,0.1295544653699462
BWA,Botswana,1989,0.25945192100605574,13.0594058858571,0.25645989777711264,0.130594058858571,0.002992023228943097,0.12885786214748474
COD,D.R. of the Congo,2013,0.047396881611068586,17.5159124688348,0.05725070663492193,0.175159124688348,0.009853825023853346,0.1277622430772794
SWZ,Eswatini,1971,0.009787266691332341,13.7436337306559,0.010507977598415152,0.137436337306559,0.000720710907082811,0.12764907061522665
IRQ,Iraq,1992,0.19861411621091918,32.5922111964051,0.29809265730562995,0.325922111964051,0.09947854109471077,0.12730799575313184
